Pixel	Blue	Green	Red	***	BGR	BGR_Norm	***	Coord	Angstrom	BW	BW_Norm
2253	69.17	186.85	3177.84	***	3433.86	17.17	***	2147	6505.41	4643	23.21
2254	70.49	173.26	3181.95	***	3425.7	17.13	***	2148	6508.44	4648	23.24
2255	54.31	106.03	3102.14	***	3262.48	16.31	***	2149	6511.47	4454	22.27
2256	41.56	56.7	3018.02	***	3116.28	15.58	***	2150	6514.5	4271	21.36
2257	40.25	50.95	2990.74	***	3081.94	15.41	***	2151	6517.53	4224	21.12
2258	43.22	48.82	2991.8	***	3083.84	15.42	***	2152	6520.56	4222	21.11
2259	39.53	48.07	2974.41	***	3062.01	15.31	***	2153	6523.59	4200	21.0
2260	33.97	40.96	2953.51	***	3028.44	15.14	***	2154	6526.62	4156	20.78
2261	38.54	33.79	2944.67	***	3017.0	15.09	***	2155	6529.65	4152	20.76
2262	42.64	39.58	2959.13	***	3041.35	15.21	***	2156	6532.68	4176	20.88
2263	45.64	43.12	2982.69	***	3071.45	15.36	***	2157	6535.71	4220	21.1
2264	48.43	45.24	3002.25	***	3095.92	15.48	***	2158	6538.74	4248	21.24
2265	45.21	41.66	3028.22	***	3115.09	15.58	***	2159	6541.77	4275	21.38
2266	42.21	44.55	3110.05	***	3196.81	15.98	***	2160	6544.8	4402	22.01
2267	49.18	45.26	3235.89	***	3330.33	16.65	***	2161	6547.83	4593	22.96
2268	50.65	45.24	3407.65	***	3503.54	17.52	***	2162	6550.86	4842	24.21
2269	59.12	30.9	3581.32	***	3671.34	18.36	***	2163	6553.89	5076	25.38
2270	73.68	41.64	3797.52	***	3912.84	19.56	***	2164	6556.92	5417	27.09
2271	94.11	55.27	3983.56	***	4132.94	20.66	***	2165	6559.95	5713	28.57
2272	108.2	56.76	4119.96	***	4284.92	21.42	***	2166	6562.98	5944	29.72
2273	119.62	43.84	4197.57	***	4361.03	21.81	***	2167	6566.01	6047	30.23
2274	119.48	51.73	4167.12	***	4338.33	21.69	***	2168	6569.04	6009	30.05
2275	113.87	43.08	4092.52	***	4249.47	21.25	***	2169	6572.07	5898	29.49
2276	102.57	43.84	3938.37	***	4084.78	20.42	***	2170	6575.1	5659	28.3
2277	94.32	62.47	3801.32	***	3958.11	19.79	***	2171	6578.13	5471	27.36
2278	85.69	48.15	3633.85	***	3767.69	18.84	***	2172	6581.16	5212	26.06
2279	83.02	46.7	3476.13	***	3605.85	18.03	***	2173	6584.19	4974	24.87
2280	76.41	60.31	3340.71	***	3477.43	17.39	***	2174	6587.22	4783	23.91
2281	78.67	68.91	3223.63	***	3371.21	16.86	***	2175	6590.25	4635	23.18
2282	73.06	54.58	3097.65	***	3225.29	16.13	***	2176	6593.28	4429	22.14
2283	75.46	52.44	3018.43	***	3146.33	15.73	***	2177	6596.31	4332	21.66
2284	68.7	68.16	2936.8	***	3073.66	15.37	***	2178	6599.34	4210	21.05
